Ward Population,Ward
Median Age 40.6,Ward 20
Median Age 40P,Ward 15
Median Age 35.6,Ward 11
Median Age 38.2,Ward 24
Median Age 40P,Ward 8
Median Age 36.5,Ward 1
Median Age 45.2,Ward 2
Median Age 39.8,Ward 21
Median Age 35.3,Ward 13
Median Age 38.4,Ward 4
Median Age 40.2,Ward 12
Median Age 40.9,Ward 16
Median Age 40.8,Ward 6
Median Age 44.4,Ward 22
Median Age 32.4,Ward 10
Median Age 40.4,Ward 19
Median Age 41.1,Ward 17
Median Age 41.1,Ward 3
Median Age 39.3,Ward 5
Median Age 36.7,Ward 9
Median Age 39.8,Ward 14
Median Age 38.5,Ward 18
Median Age 40.9,Ward 25
Median Age 41.5,Ward 23
Median Age 36.3,Ward 7
